Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
193.97345436	56.2228012085	132947.109375	333	M+H	500	1.0	192.966177908
193.973466821	65.4840011597	139415.859375	334	M+H	500.0	1.0	192.966190369
114.558171377	91.5821990967	45029.7539062	335	M+H	500.0	1.0	113.550894925
110.000187835	168.805999756	4593.01074219	336	M+H	500.0	1.0	108.992911383
271.916056418	18.8992996216	51245.3789062	337	M+H	500.0	1.0	270.908779966
271.915959698	93.0960006714	27321.9316406	338	M+H	500.0	1.0	270.908683246
152.994561709	108.487998962	8660.94042969	339	M+H	500.0	1.0	151.987285257
312.942460748	93.0960006714	34630.1445312	340	M+H	500.0	1.0	311.935184296
355.875701832	116.29599762	12491.1923828	341	M+H	500.0	1.0	354.86842538
88.5090102102	23.563999176	16969.3613281	342	M+H	500.0	1.0	87.5017337582
88.5090061391	110.022003174	20871.4570312	343	M+H	500.0	1.0	87.5017296871
150.113676896	127.31300354	4573.60839844	344	M+H	500.0	1.0	149.106400444
110.009554731	117.867996216	17047.1210938	345	M+H	500.0	1.0	109.002278279
